貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2018-04-04 03:20:03+00:00,136845026417486_1286276241474353,"今天是兒童節，小朋友最大，所以大人要想辦法給他們快樂的一天。

臺北市政府在這個月推出了33項社教場館跟藝文活動優惠，連假期間，小朋友可以免費進入兒童新樂園，貓空纜車也可以不限次數免費搭乘，家長沒有藉口不帶小朋友出去玩。

放下你（我）的手機，今天讓小孩子帶著大人們一起出門走走吧！

#2018臺北兒童月

-
哪些場館跟活動有優惠？
http://pse.ee/5NFJ9",,11505,135
2018-04-03 13:08:26+00:00,136845026417486_1285703601531617,"我常開玩笑說，以前只要走進政府，五分鐘後你的熱情就耗光了，因為過去的公務體系常把簡單的事弄得很複雜，讓政府對人民最大的幫助，只剩下「不要去干擾他們」。

人民繳稅給政府，是希望政府來服務人民，而不是過度管理搞到大家沒辦法做事。

因此，讓每個有意願投資臺北的企業，從申請到開幕，都能保有他們的熱情，就是臺北市政府努力的目標。

我們推出One Stop Shop（一站式服務）的「臺北市投資服務辦公室」，不管是本土產業或是國際品牌，只要想來臺北投資開店，來到這裡申請，後續的建管、消防、執照等等，通通有人負責到好，不必讓申請者疲於奔命到處辦事。

臺北是通往亞洲市場的最佳通道，跟其他城市相比，是一個相對友善、安全、穩定的經商環境，「政府應該要從一個管理的團隊，轉型為服務團隊」，我們會在法律允許的範圍內盡量協助企業，為臺北創造更多投資的機會。

Invest.Taipei
#招商一站式服務
#進步價值光榮城市

---
ITO臺北投資入口網
http://invest.taipei/",,24890,640
2018-04-02 11:18:57+00:00,136845026417486_1284764494958861,"我現在每天都搭公車上班，只要出門前先查一下愛臺北App，都可以準時七點半上工。

不過，雖然有App可以輔助，但大家對於公車還是有班次不穩定、轉乘不方便的刻板印象，所以去年我們建置了5條「類捷運」幹線公車，提供了捷運化的穩定班距（尖峰時刻每4到6分鐘一班），還有一致的標示識別，並享有跟捷運一樣的轉乘優惠。

這5條幹線公車運量一直在增加，從今天（4/2）開始，我們再把11條公車路線也轉型為幹線公車，這些公車的既有路線不變，但班次比以前更密集，車上還配備了動態轉乘資訊面板，不用怕坐過站或是找不到轉乘點。

16條幹線公車全面營運後，搭配1280元吃到飽的公共運輸月票（All Pass Ticket），我們會開始逐步調整公車路線，發展出更完整、更有效率的短程接駁公車路網。

「八橫八縱」幹線公車，今天起正式上線！

#幹線公車
#公車路網調整
#進步價值光榮城市

---
哪些路線今天（4/2）起變成更方便的幹線公車？
http://draw.re/5MXKU

幹線公車懶人包
http://draw.re/5MXL8

下載我推薦的「愛臺北」App
http://draw.re/5MXMT",,19443,340
2018-04-01 02:08:50+00:00,136845026417486_1283552451746732,#0401,柯文哲 updated their profile picture.,86657,0
2018-03-31 10:30:00+00:00,136845026417486_1282881955147115,"臺北市有活火山，火山爆發是有可能的。

所以除了常見的颱風、強降雨、地震、意外事故，今年我們第一次把大屯火山爆發的災害列入演練項目。先前我們已經做了幾次兵棋推演，今天則是跨軍種、跨縣市來做實兵演練。

火山不像我們想像的說爆發就爆發，而是有地震、熔岩等等先期跡象，我們已經委託學術單位研究火山爆發的預警機制，所以今天演練的重點就聚焦在災害發生前，視跡象進程來做不同程度的準備。

但事實上，火山爆發後的災害還有很多，比方說火山灰有可能讓松山機場停飛，因此未來我們還會擴大演練範圍，一步步把火山防災的SOP建立起來。

不管是颱風、地震，還是今年新增的火山爆發，我們先兵棋演習，再做實兵演練，再從實兵演習中發現新的問題，透過滾動式修正，讓我們的SOP更加完備。

準備好面對各種災害，才能把可能的傷亡降到最低，讓臺北市真正成為宜居永續的城市。

#火山災害防救演習
#進步價值光榮城市",柯文哲 added 4 new photos.,12686,173
2018-03-31 05:10:14+00:00,136845026417486_1282777711824206,"要改變一個國家的性格，教育是最快的方法，而教育不應該只是知識的體驗，更應該是生活經驗的傳授。

我們推行的「小田園教育」，不是教學生如何種菜而已，也包括訓練團隊合作、體驗生命教育、了解食農教育，甚至處理廚餘的環保議題、田園美學等等。

以前的人說「沒吃過豬肉，也看過豬走路」，現在大家都在水泥叢林中成長，看過豬走路的反而比較少。我記得念臺大醫學系時，有同學跟我出遊途中，問我「為什麼那些草種得這麼整齊」，我看了回答他「那些是水稻田」，這代表過去的臺灣教育是和生活經驗脫節的，這不是我們想要的教育。

我們要用田園教育，讓人類重新跟大自然連結，對食物的認識不再只是包裝過後的商品。我們期望以後的社會是什麼樣子，現在就要導入什麼樣的教育。

#田園城市
#小田園教育計畫
#進步價值光榮城市

---
田園城市網路平臺
http://farmcity.taipei/

攝影／潘俊霖",,14308,287
2018-03-30 05:30:49+00:00,136845026417486_1281908878577756,不管藍綠統獨及各種社運，臺灣必須成為一個法治的國家。,柯文哲 added 4 new photos.,28675,379
2018-03-29 11:34:41+00:00,136845026417486_1281264501975527,"未來30年，臺灣不可能有三級貧戶當上總統，因為貧富在目前的社會已經世襲。如果一個小朋友沒有網路、手機、電腦，他根本沒有機會和人競爭，這個局面必須打破。

我常說，即使在資本主義的社會裡，有兩項東西要社會主義，一個是醫療，另一個就是教育。臺灣現在已經有健保，醫療平權差不多達到了，但教育平權要努力的空間就很大。

這就是為什麼要推動教育E化，3年內，我們要讓臺北市所有國小、國中、高中全面建立免費網路、E化教室，每一個學生有平板或其它移動載具 （mobile device）。我們已經把每一科的課程都拍成影片上網（臺北酷課雲），還要繼續精進。將來，每一位孩子只要願意學習，都有載具可以連接網路，透過「酷課雲」自我學習。

未來的世界，知識都在網路上，但如果一個小朋友沒有網路、電腦跟手機，學校又不給他這些東西，他要如何與其他人競爭？所以透過網路建立教育平權，是我們很重要的政策。

教育E化計畫，就是要給貧苦的孩子們留下一個翻身的機會。

#教育E化
#進步價值光榮城市
臺北市教育局",,21582,812
2018-03-28 04:40:34+00:00,136845026417486_1280219578746686,"今天找來北市府兩位「老文青」：文化局鍾永豐局長、小野老師，一起吃午餐，撒花生，聊城南！

#柯Ｐ便當會
#北市府老文青來了
#聽說便當也很文青
TMS 臺北市影視音實驗教育機構",柯文哲 was live.,7621,166
2018-03-27 09:20:22+00:00,136845026417486_1279512518817392,"看到這支影片，就想到以前在台大當醫師時，整天都在醫院工作，回到家時小孩子早就睡了，陪伴小孩的工作都交給岳父母。

不過，小孩的成長只有一次，所以如果可以的話，還是盡量抽空陪陪孩子，4月是小朋友的專屬月份，臺北市教育局推出了「兒童月」系列活動，不只有好玩的闖關與園遊會活動，可以帶著小孩從玩樂中學習，還有很多博物館、場館可以免費入場。

4月，讓孩子帶著我們一起出去玩吧。

---
「2018臺北兒童月」系列活動
https://goo.gl/e3kW2r",,17670,1133
2018-03-27 02:00:06+00:00,136845026417486_1279489492153028,"今天是今年度最後一次行動市政會議，我們來到熱鬧的中山區開會，全新的「心中山」中山雙連帶狀公園、圓山自然景觀公園，以及北美館第二期計畫，我們都會在直播中跟大家報告。

#直播搶答還有禮物可拿
#行動市政會議",柯文哲 was live.,3569,85
2018-03-25 10:54:53+00:00,136845026417486_1277833415651969,"#小常識

很多人不知道臺北的「城南」在哪裡，我來告訴大家。

大稻埕和艋舺是台北發展最早的兩個地方，在它們中間蓋了一個臺北城。簡單來說，所謂的城南就是「南門以南」的地方，現在的南海路、汀州路，古亭、公館一帶，都算是「城南」。

這裡有老臺北人約會最愛去的植物園跟歷史博物館，古色古香的菸酒公賣局和紀州庵，文青愛逛的牯嶺街小劇場與舊書店，好吃的金峰滷肉飯跟建中黑糖冰，喔對了，還有陳佩琪常常去買菜的南門市場。

這裡有文學、藝術、古蹟，還有美食，非常值得大家在春暖花開的時候，花一整天的時間在這裡閒晃，享受城南的人文風景，所以我們跟中華文化總會合作，推出「城南有意思」系列活動，用各式各樣的活動，帶大家重新認識這一座沒有圍牆的「城南博物館」。

現在來城南，白天有杜鵑花可以看、晚上有寶藏巖光節可以逛，還有文總的「城南有意思」，趁最近天氣好，快點一起過來城南賞花賞景曬太陽！

#城南有意思
#2018臺北杜鵑花季
#2018寶藏巖光節

（影片顯圖攝於牯嶺街舊書局）

---
城南有意思
https://goo.gl/66TjZc

2018臺北杜鵑花季
http://2018.azalea.taipei/

2018寶藏巖光節
https://goo.gl/4tFfqU",,9995,377
2018-03-25 01:58:10+00:00,136845026417486_1277524809016163,今天來臺中，天氣不錯，謝謝林佳龍市長帶我來逛逛全新的綠川。,柯文哲 was live — at 新盛綠川水岸廊道 Shin Sei Green Waterway.,10128,154
2018-03-24 12:27:25+00:00,136845026417486_1277009045734406,"要讓臺北成為一個優雅的城市，我們規劃了「臺北花系列」，不是連續劇的花系列啦，而是每一個季節，在臺北都有不同的花可以觀賞，讓幸福的感覺可以持續。

從每一年的年底開始，有士林官邸的菊花展、內湖樂活公園的夜櫻祭、陽明山的茶花展、士林官邸鬱金香花展。3月起則是重頭戲：陽明山花季、城南杜鵑花季，竹子湖海芋季接力登場，是整個「花系列」的高潮。

大家到東京會去看櫻花、到阿姆斯特丹會去看鬱金香，而每年3月盛開的紅白相間杜鵑花，不只是臺大的校花，也是臺北的市花，所以我們花了很多心思，把城南地區的大小活動跟杜鵑花結合，大家可以一邊賞花，還可以一邊聽歌、野餐。

我們現在辦活動，都要在地化、國際化、產業化，要結合在地特色，做到國際水準，還要帶動周邊的產業，活動結束後，還會檢討周邊的商家有沒有賺到錢，人流就是金流，用活動促進經濟發展。

總之，這個週末看起來天氣很好，大家一起搭捷運、騎YouBike，到臺北市的每個角落，尋找美麗的杜鵑花，順便買東西刺激消費！

#2018臺北杜鵑花季
#臺北花系列
#進步價值光榮城市

---
哪邊可以賞花？
http://2018.azalea.taipei/flower.php

看更多杜鵑花季活動
http://2018.azalea.taipei/action_list.php",,6672,131
2018-03-24 05:18:46+00:00,136845026417486_1276788709089773,"研考會的民調顯示，環保一直是臺北市民最滿意的施政項目，滿意度高達8成。

其實環保不只是把市容弄得乾淨就好，還包括降低空污、垃圾減量，節能減碳等等，我們要讓環保的觀念深植人心，讓臺北成為一座宜居永續的城市。

例如這兩年開始試辦「禁用一次性及美耐皿餐具」，我們由內而外、由公而私來推動，從公家機關和學校先做起，雖然一開始抱怨很多，但試辦一年後，垃圾明顯少了一大半，現在民間企業紛紛響應，連夜市、大學都要跟著推動，效果非常好。

除了垃圾減量、減塑之外，愛地球還有很多種方式，今天晚上八點半到九點半，大家可以來響應「地球一小時」的活動，跟著全世界一起關燈一小時，做環保之餘還可以在黑暗的環境下好好思考人生，不想思考的也可以趁機出門走走或補眠。

總之，歡迎大家一起做一件支持環保的事情！

#宜居永續臺北城
#2018地球一小時
　　
---
看更多活動內容
https://goo.gl/BXBz79",,6707,150
2018-03-22 09:00:00+00:00,136845026417486_1275172739251370,"我們有一個政策：要在最短的時間內讓銅板、紙鈔從臺北消失。這代表我們發展電子商務的決心，悠遊卡連結金融帳戶、提供自動加值，是我們重要的一大步。

以前只有悠遊聯名信用卡可以自動加值，一般的悠遊卡還得拿著現金到機台儲值。從現在開始，一般的悠遊卡只要記名，接著到銀行申辦，就能與銀行帳戶連結，消費餘額不足的時候，就可以自動加值完成交易。

悠遊卡是全臺灣第一家可以綁定金融帳戶的電子票證，服務開通之後，家長可以幫小朋友綁定帳戶，子女也可以幫長輩綁定他們的敬老卡，而且帳戶有錢才能自動加值，不用怕刷太多變卡奴。

另外，為了對抗空氣污染，現在用悠遊卡在全台灣搭乘大眾運輸，每搭5次就送1點UUPON紅利點數，「週五綠運輸日」則是每搭1次就送1點。搭越多，UUPON點數就越多，還可以拿這些點數換儲值金，到超商、賣場兌換商品。

悠遊卡的一小步，台灣的一大步。

#智慧金融
#悠遊卡連結金融帳戶
#進步價值光榮城市

---
如何將一般悠遊卡綁定金融帳戶？
https://goo.gl/ALSKZ7

教你如何用UUPON點數換現金
https://youtu.be/sgjMBOZom-s",,19092,523
2018-03-21 11:25:13+00:00,136845026417486_1274429862658991,"賴清德院長巡迴下鄉，今天來到最後一站臺北市。

對北市府而言，這幾年省吃儉用、吃苦耐勞，錢的問題還好，自己可以處理的問題也不用麻煩中央。但法規面的整合，尤其是跨部會的協調，還是需要中央的協助。

比方說長照2.0，臺北市資源多，願意先行試辦，但常常受限於法規而被卡到，因為法律有一體適用的原則，既然是先行試辦，遇到舊有法律就覺得格格不入。另外，還有一些需要跨部會協調的問題，常常就是這些小障礙，累積起來讓整個政府卡卡的。所以這次藉著中央和地方交流的機會，把問題拿出來共同討論。

賴院長過去是醫師，也當過縣市首長，務實是我們兩個的共通點，謝謝今天有這個機會可以一起面對問題、解決問題，讓政治落實在人民生活的每一天。",,12484,96
2018-03-20 10:17:10+00:00,136845026417486_1273511512750826,"YouBike即將突破一億人次使用。

它不但是臺北市的驕傲，更是臺灣共享經濟的成功範例。到現在已經上路9年了，仍然好騎而且不生銹，代表台灣自行車工藝技術的水準相當高。

感謝郝龍斌市長當年推動這項政策，更在市府同仁持續的努力之下，去年底我們完成了400站、1萬3千臺的目標，建立一個完整的YouBike系統。

現在我們把YouBike當作公共運輸的一部分，除了使用All Pass Ticket有前半小時免費之外，下個月開始（4月1日起），轉乘優惠也將正式上路，只要搭捷運跟公車一小時內使用YouBike，就可以享有前30分鐘免費。騎YouBike後一小時內轉搭公車捷運，票價也可以省5元。

除此之外，敬老卡每個月480元的點數，下個月開始也可以用來使用YouBike，鼓勵長輩走出戶外，讓他們更健康、更快樂。

首都生活圈的公共運輸，捷運和幹線公車是最底層，第二層是公車路網，最上層則是YouBike跟步行，我們希望建構一個完整的公共運輸系統，來有效改善臺北的交通。

在YouBike的成功經驗之上，我們也正在逐步建置 U-Motor（共享電動機車）、U-Car（共享電動汽車）、U-Parking（共享停車位），進一步推動臺灣的共享經濟。

#YouBike突破一億人次
#進步價值光榮城市
YouBike大台北粉絲團｜臺北交通大家談｜智慧臺北 幸福生活",,20824,321
2018-03-18 11:07:51+00:00,136845026417486_1271809402921037,"1993年我到美國明尼蘇達大學進修時，當時最熱門的電視節目是大衛萊特曼的脫口秀，裡面每一個單字我都知道，但總是搞不懂一旁的同學在笑什麼。

因為我們唸的都是教科書英文（Textbook English），結果會讀會寫，但和日常生活脫節，往往聽不懂、也說不好，溝通時還要在腦袋先「英翻中，再中翻英」。

其實學習語言，環境很重要，而且最好是從小開始，所以去年開始我們在文昌、東新國小試辦雙語教學，不只增加英語課更，直接用英語來教體育、美術、音樂等等科目，讓英語更生活化。

一年下來，9成以上的家長贊成繼續推動，學生滿意度超過7成，更重要的是100%的老師支持，讓我們有信心。下個學年度，我們要再增加3所國小、1所國中試辦雙語教學。

要走向國際化，雙語教學是重要基礎，所以我們會每半年做一次滾動式檢討，逐步修正、持續推動，直到所有學校實行雙語教學，讓台北成為一座真正的國際城市。

#雙語實驗教學
#進步價值光榮城市",,13373,320
2018-03-17 04:36:12+00:00,136845026417486_1270624809706163,"1280元吃到飽的All Pass Ticket正式預購後，收到大家很多寶貴意見，我們在這邊跟大家再次說明。

事實上，這個吃到飽定期票的政策，我們花了2年時間協調跟精算，並做好前置的準備作業。

這段期間，我們加強捷運的商業化，增加業外收入；我們也讓路邊停車全面收費，增加停車收入。用這些收入，來補貼公共運輸的支出。

這個交通戰略的邏輯，是透過路邊停車全面收費，符合使用者付費的原則；然後增加的收入，再補貼公共運輸的支出，一方面減少了自用車，一方面則是鼓勵公共運輸。

此外，過去捷運的主要收入是車票，這幾年我們增加場站的廣告收入，以及商店的營業額，業外收入增加不少，不只降低票價上漲的壓力，還可以拿來補償公共運輸的支出。

All Pass Ticket上路之後，下一步就是公車路網重整，以前接駁公車里程短還要多收一段票價，沒有人想搭，現在吃到飽上路之後就沒有這個問題了。我們會以捷運、幹線公車為基礎，重整公車路線。

台北市的交通政策基本原則，就是共享、綠能及E化，共享就是共同使用大眾運輸，吃到飽定期票只是第一步，卻是很重要的一大步，只有夠提高公共運輸的使用率，台北市的交通才有希望。

#公共運輸定期票 
#1280元吃到飽 
#進步價值光榮城市

---
如何預購All Pass Ticket
https://goo.gl/UXRou9

攝影／潘俊霖",,50856,1133
2018-03-14 11:13:22+00:00,136845026417486_1268073563294621,"流標5次、中間一度發生弊案的雙子星大樓，在這個月底要重新上網招標了。

經過3年下來的努力，以北門為中心的西區門戶計畫幾乎已經完成。上任的第一天晚上，我們拆除了忠孝西路公車專用道；利用過年期間，以6天時間拆掉忠孝橋引道，讓北門重見天日，並修建北門廣場；移走國光客運站，開闢台北行旅廣場和公車彎；重建三井倉庫，也編了預算拆除北門對面的舊屋並調整北平西路。

過去只是口號的「軸線翻轉、舊城復興」，現在已經正式實現。在經過這些努力之後，雙子星大樓重新招標應該會更有賣相。

除了硬體的改善，我們還引進了軟體，連續兩年在這裡舉辦的台北燈節，也為西區帶來更多商機，不只西門町生意變好，連後火車站的台北地下街生意也成長了7成。

雙子星大樓蓋好之後，必須要帶動後火車站區域的發展，所以我已經要求都發局在最短的時間，完成後火車站區域的都市計畫通盤檢討，讓雙子星一舉解決這裡的都市發展和都更問題。

這一次，我們會以公開透明的態度來處理雙子星大樓招標事宜，把所有資訊公開，包括每次開會的會議紀錄。只要沒有私心，公開透明，專業問題、專業解決，很多事情就會單純很多。

西區門戶計畫的最後一塊拼圖，很快就可以完成，我們繼續努力。

#C1D1開發案
#西區門戶計畫
#進步價值光榮城市",,14203,382
2018-03-13 09:46:04+00:00,136845026417486_1267145630054081,"【為什麼我們要推1280元吃到飽定期票？】

過去20年，台北市的機車、小客車一直增加，但是道路面積並沒有增加，就算現在交通號誌智慧化、交警加強上崗，要讓交通狀況不變壞都很吃力。唯一可以有效改善交通的方法，就是提高公共運輸的使用率。

台北有完善的捷運路網、公車系統、YouBike，剩下的問題只是如何讓公共運輸發揮最大效能。在同仁們兩年來不斷的溝通、協調、精算之下，今天起，「All Pass Ticket」公共運輸定期票終於可以開始預購：

30天只要1280元，就可以無限搭公車、捷運，並享有Youbike前半小時免費。

首都生活圈的民生問題，需要雙北市政府的通力合作，所以特別感謝朱立倫市長和新北市政府，不分色彩黨派，和我們一起合作推動這個政策。

All Pass Ticket是大台北地區整體交通戰略的基礎，接下來八橫八縱的幹線公車在四月上路，公車路線也要重新調整。加強公共運輸效率，給大家方便，才會有更多人願意加入公共運輸的行列。

跟我一起天天搭公車、搭捷運通勤的人，請現在起就去預購一張吧！

台北捷運｜公車禮貌心運動｜YouBike大台北粉絲團｜臺北交通大家談｜智慧臺北 幸福生活
#公共運輸定期票  
#1280元吃到飽  
#進步價值光榮城市

---
怎麼在售票機預購All Pass Ticket
https://tinyurl.com/ya6eqvt3

有問題看這裡
https://tinyurl.com/y74joamy",,70099,2418
2018-03-13 04:33:00+00:00,136845026417486_1266935330075111,"今天中午，社會局許立民局長來找我吃便當，大家也一起來邊吃午餐邊聊市政吧。
 
#柯Ｐ便當會
#師徒真心話",柯文哲 was live.,10431,267
2018-03-11 13:42:55+00:00,136845026417486_1265473590221285,"要拿第一名，需要天份、運氣，更需要努力；而要連續兩年第一名，就需要非常非常努力。

恭喜台北市立松山高中的孩子們，一路打上來，連續兩年撒下綠色彩帶，拿下HBL高中籃球聯賽冠軍。

我也要鼓勵同場的能仁家商籃球隊，拼戰到最後一秒，全場威脅「綠色神盾」，大家共同完成了一場精彩的比賽。

運動最感人的就是大家熬過努力訓練後，拼盡全力、永不放棄，冠軍賽結束後，很多人都有感而發哭了，正是因為這份最真實的感動，讓HBL這麼多年來一直受到大家歡迎。

明年，大家再熱血一次！

臺北市教育局",,18685,184
